site,lat,lon,detections,days_detected,mean_frp
21.35_81.67,21.347122414965988,81.66622887755102,294,263,1.5876190476190475
21.36_81.64,21.36432,81.64455086956522,23,23,1.2730434782608697
21.36_81.65,21.363673092783507,81.65058103092784,291,231,1.3556701030927836
21.36_81.66,21.36362,81.65534,1,1,1.67
21.36_81.67,21.36211,81.67405000000001,3,3,1.5733333333333333
21.36_81.68,21.364375229357798,81.67840931192661,218,199,1.6598165137614678
21.36_81.69,21.364328333333333,81.68538833333334,6,6,1.3433333333333335
21.37_81.64,21.372531441860463,81.64170144186048,215,183,1.8070232558139534
21.37_81.65,21.36589310679612,81.64963058252427,103,102,1.291650485436893
21.37_81.66,21.365524999999998,81.65515500000001,2,2,0.7949999999999999
21.37_81.68,21.36964861253854,81.6798552004111,973,679,1.6658067831449126
21.37_81.69,21.37146230769231,81.68585253846155,130,128,1.2719999999999998
21.38_81.64,21.376856422764227,81.64115787601627,984,731,1.7616666666666667
21.38_81.65,21.378748588235293,81.64824423529411,85,80,1.246235294117647
21.38_81.66,21.38241400921659,81.65655497695853,217,205,1.0883870967741935
21.38_81.68,21.377431963315217,81.68063223505435,1472,1002,1.9370788043478262
21.38_81.69,21.37526,81.68566,1,1,2.15
21.39_81.64,21.389523223140497,81.64442388429752,121,115,1.6590909090909092
21.39_81.65,21.389524660766963,81.64685849557522,1017,830,1.59086529006883
21.39_81.66,21.38565,81.6572525,4,4,0.9825
21.3_81.6,21.298896274509804,81.60467235294117,51,51,0.9886274509803922
21.3_81.61,21.298809784688995,81.60720392344498,418,348,1.1608612440191388
21.3_81.62,21.29748727272727,81.61582363636363,11,11,0.9290909090909092
21.43_72.98,21.43255,72.97690733333334,15,14,1.6099999999999999
21.48_81.77,21.484601463414634,81.76886731707317,82,76,1.1657317073170732
21.49_81.76,21.487265,81.76395500000001,2,2,2.025
21.49_81.77,21.48706809656453,81.76892092850511,1077,848,1.3756545961002784
21.53_86.83,21.531221641791046,86.83301880597014,67,63,0.8465671641791045
21.54_81.95,21.543278479532162,81.94743245614035,171,159,1.2763157894736843
21.55_81.75,21.5549,81.74908,1,1,0.47
21.55_81.95,21.545399200000002,81.94741760000001,25,25,1.0832000000000002
21.56_81.75,21.556933870967743,81.74933580645161,31,29,0.7770967741935484
21.57_82.02,21.5747675,82.02379,8,8,1.46125
21.58_82.02,21.576815243445694,82.02277561797753,267,256,1.408239700374532
21.58_82.03,21.57663,82.02511000000001,5,5,1.208
21.5_81.78,21.497177241379312,81.78297965517243,29,28,0.903448275862069
