cluster,lat,lon,n_cells,detections,max_days,mean_frp,extent_km,cluster_days
261,23.662803333333333,87.20712333333334,1,3,3,0.6366666666666667,0.4,3
262,23.684361915649593,86.08943183748416,17,7956,1136,1.8639726379929689,7.3,1273
263,23.678651097683694,86.39889809427424,10,9207,1212,2.277330325186848,5.0,1333
264,23.69187510468229,87.11413679359497,11,7487,1184,1.5551390886525134,3.6,1218
265,23.690032608695653,68.83255434782609,1,23,22,0.6347826086956522,0.5,22
266,23.704649022324517,85.28546076995342,8,771,231,0.9601890337194485,3.4,484
267,23.708944284855768,85.4044596484375,2,141,121,0.5820192307692307,0.7,132
268,23.708933333333334,85.42687333333333,1,3,3,0.52,0.3,3
269,23.754826844162814,86.40655516362483,34,31174,1305,2.0284685227070947,13.1,1431
270,23.730104347792114,85.01298528288693,10,4397,971,1.703137296242477,4.1,1124
271,23.72430913532824,85.5249090393322,4,140,91,0.5643654499151104,0.7,134
272,23.73139074906367,86.75570113295879,2,190,161,1.48375468164794,0.7,168
273,23.744902799236133,85.50560035185745,4,957,356,1.0934300395986443,1.0,711
274,23.75480625144662,85.85759958150041,5,2307,732,1.9848770204502184,2.2,1018
275,23.765495286208356,86.03541661278939,4,222,83,1.4219357001693957,1.0,158
276,23.76821157894737,86.01205736842105,1,19,19,0.6836842105263158,0.4,19
277,23.77663065975509,86.20491785654127,9,6755,1115,2.077127604826256,3.5,1231
278,23.78630350270649,86.30745369262503,5,438,218,1.6419791889287905,1.8,313
279,23.789550340090912,86.34480584190358,10,8205,1114,2.3850121403464493,4.3,1308
280,23.7941875,85.559565,1,4,3,0.9750000000000001,0.2,3
281,23.794868930210118,86.23503851298507,4,743,233,1.1930746582962037,1.0,573
282,23.793856149572647,87.07497022649574,3,52,26,2.807811965811966,1.7,49
283,23.695856666666668,84.99689,1,3,2,0.3466666666666667,0.2,2
284,23.809321021139766,84.84508168871389,6,1058,395,1.3641424692593374,2.3,642
285,23.806313469918695,85.53653763252032,3,92,45,0.9202829268292684,1.7,71
286,23.80702741935484,85.86230548387097,1,31,29,0.8945161290322581,0.5,29
287,23.805231633244432,86.32119104111597,6,4900,1193,2.499112694323948,2.6,1278
288,23.80493318057407,87.0415496790014,7,1763,762,2.330189339465815,4.0,767
289,23.828314671986337,84.93036101991498,4,276,103,1.8349828328992415,2.4,127
290,23.827306206866805,85.46526374654934,5,96,45,0.6129510006901311,2.1,93
291,23.82390042523519,85.49674269540526,4,1721,792,1.496791831169205,1.8,944
292,23.81588,86.96983,1,1,1,0.42,0.0,1
293,23.83893874251497,84.9487207784431,1,167,129,1.152694610778443,1.1,129
294,23.841021724941726,85.30466630536131,2,92,64,0.7254953379953379,0.8,88
295,23.92557932364096,85.34302625158028,2,120,109,0.7208912768647282,0.6,116
296,23.98968549802761,79.39360328895464,2,509,466,1.1081360946745562,0.9,468
297,24.00991740740741,80.52980962962964,1,27,27,1.0692592592592594,0.5,27
298,24.053476619281046,80.61437210294118,3,275,231,1.0891519607843139,0.7,260
299,24.116219843781593,86.85965166936299,2,273,160,1.4023276036400403,1.2,185
300,24.12534217183858,82.61523755845717,4,126,37,1.1402001384032634,1.0,93
301,24.118868540874526,86.35400618924615,2,355,243,0.8951142750867912,1.1,304
302,24.165451440002904,82.56745314945802,14,2074,467,1.8247868708593558,7.4,843
303,24.154969733445565,82.61172268237935,9,76,43,1.0902693602693603,3.5,72
304,24.143911203703706,82.63474411589009,3,62,26,0.9156730386300279,1.1,41
305,24.142135,82.6806375,1,4,4,0.71,0.4,4
306,24.14417,82.74372,1,1,1,0.66,0.0,1
307,24.145618659957627,86.33192311440678,2,75,51,0.9680402542372881,0.7,61
308,24.162267682384343,82.67740402897813,7,324,179,1.2376067615658364,3.1,201
309,24.16755141204496,80.6949795555175,2,530,267,1.07925111263266,0.8,482
310,24.205367509882983,82.5249762440702,4,291,121,1.0855921884882986,0.9,251
311,24.205472534488237,82.71311875905911,4,690,415,1.8705476266158083,1.5,439
312,24.242584285714287,78.16217857142858,1,14,13,1.3807142857142856,0.7,13
313,24.202755,80.80031984126984,1,126,122,1.0285714285714285,0.5,122
314,24.325498887781542,81.32764221447081,2,202,168,1.0136555710584014,0.7,195
315,24.44929717791411,83.03931604294478,1,326,303,0.947760736196319,0.8,303
316,24.483598943833943,77.14621037240538,3,58,36,1.6265567765567768,0.9,47
317,24.528297414965987,81.16939163265306,1,147,145,0.8712244897959183,0.6,145
318,24.565032969683394,81.0042281819992,4,210,122,1.2254047192353643,0.7,203
319,24.565480961538462,81.17569551282051,4,31,26,1.1519551282051281,0.6,31
320,24.579125148039843,74.80434628666727,2,384,335,1.1243644338846752,0.8,364
321,24.595417499999996,80.861246,2,45,39,0.92625,0.4,44
322,24.60449475163399,73.81605607189543,3,42,33,0.8596339869281047,0.6,41
