site,lat,lon,cluster,days_detected
19.11_82.17,19.105812647058823,82.16700411764705,73,32
19.1_73.05,19.101781557142857,73.05249482857143,74,515
19.1_73.06,19.102629285714283,73.05529571428572,74,14
19.1_82.16,19.102524096385544,82.16396590361445,73,73
19.1_82.17,19.100633155680224,82.16778859747545,73,332
19.33_83.43,19.33232333333333,83.42978,75,2
19.71_79.22,19.7063,79.21588,76,1
19.72_79.17,19.722923076923077,79.17409107692308,77,124
19.72_79.18,19.723047368421053,79.175804,77,93
19.73_79.17,19.725195,79.17443,77,2
19.73_79.18,19.72548,79.17648,77,1
19.78_79.15,19.78475255319149,79.14763680851064,78,47
19.79_79.14,19.786393333333333,79.14468666666666,78,3
19.79_79.15,19.786820476190478,79.14767108374384,78,560
19.7_79.22,19.704291666666666,79.21711666666667,76,5
19.8_78.86,19.802231818181816,78.86448272727273,79,11
19.8_78.87,19.80213722222222,78.86601,79,17
19.92_79.11,19.921300088495578,79.11318801769912,80,510
19.92_79.12,19.921572741935485,79.11541064516129,80,62
19.93_73.71,19.93422083333333,73.71199333333333,81,11
19.93_79.12,19.930394,79.120136,80,5
19.94_73.71,19.93678193181818,73.71195113636364,81,79
19.96_79.33,19.962875300429186,79.33357922746781,82,393
19.96_79.34,19.96297722222222,79.33581555555556,82,204
19.97_79.33,19.96560875,79.33324160714287,82,55
19.97_79.34,19.965577777777778,79.33583666666667,82,18
20.12_79.02,20.124393846153847,79.02277923076923,83,13
20.12_79.03,20.118739574468087,79.03309085106383,83,86
20.12_79.04,20.11787,79.03540000000001,83,5
20.13_79.02,20.128015786163523,79.02292641509435,83,130
20.13_79.03,20.128698333333332,79.02568277777777,83,15
20.14_79.01,20.136996666666665,79.014185,83,6
20.14_79.02,20.136458,79.01642266666666,83,14
20.21_72.81,20.2105125,72.81137416666667,84,8
20.24_86.6,20.2427575,86.60288625,85,70
20.24_86.61,20.242466285714286,86.60751721428572,85,235
20.25_86.6,20.245493,86.60202100000001,85,10
20.25_86.61,20.245208333333334,86.60691000000001,85,5
20.26_86.6,20.257430377358492,86.60110283018868,85,46
20.35_72.95,20.354380000000003,72.94863333333333,86,3
20.36_72.95,20.35607375,72.9491,86,8
20.51_85.72,20.514260701754385,85.72414263157896,87,57
20.51_85.73,20.514050731707318,85.72582585365853,87,41
20.52_85.72,20.516873452380953,85.72384345238095,87,79
20.52_85.73,20.515643636363638,85.72569575757575,87,32
20.53_85.91,20.53395,85.91479,88,1
20.54_85.91,20.53529,85.91367,88,1
20.69_78.63,20.69482,78.63467,89,1
20.69_78.64,20.694622222222222,78.63840444444445,89,9
20.71_78.62,20.706162372881355,78.62182305084747,89,55
20.71_78.63,20.706833333333336,78.62534,89,3
20.76_85.29,20.760910540540543,85.29261785373609,90,434
20.76_85.3,20.760422398753892,85.29731934579439,90,216
20.77_85.29,20.76528,85.29489,90,1
20.78_85.25,20.78332142857143,85.25444,91,14
20.78_85.26,20.783897279102383,85.2605728050491,91,535
20.78_85.27,20.784008153846155,85.26671707692309,91,123
20.79_85.25,20.793100533491405,85.25296131001778,91,1058
20.79_85.26,20.788911577522004,85.26001789776574,91,1148
20.79_85.27,20.78727158061117,85.2667633719705,91,746
20.7_78.62,20.703160952380955,78.62156166666666,89,144
20.7_78.63,20.6980975,78.632805,89,12
20.7_78.64,20.696638947368424,78.63700457894737,89,181
20.81_85.25,20.807222033898306,85.25436809322034,91,210
20.81_85.26,20.807145708029196,85.25718981751824,91,962
20.82_86.96,20.822255454545456,86.96281454545455,92,19
20.82_86.97,20.820187999999998,86.966049,92,9
20.83_70.69,20.834137633928574,70.69281214285715,93,208
20.83_70.7,20.834231304347828,70.6954508695652,93,22
20.83_86.96,20.830269666666666,86.96209233333335,92,23
20.83_86.97,20.831163333333333,86.96562,92,3
